export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41,export_res_42,export_res_43,export_res_44
103.6626,32.0784,-6.38208,6.215661,8.968374,7.823067,6.833639,6.828629,9.755422,10.49012,10.42403,11.49129,7.14608,9.700407,8.342141,8.157882,2.100441,1.371396,-0.3004708,-0.9057893,-1.270457,-1.542206,-5.110387,0.9437713,-5.158671,1.520429,-2.533248,-4.371962,-3.668234,-4.922799,-8.828382,-7.707371,-4.17203,-4.691343,-0.6069058,-2.569521,-2.910094,-1.894055,-0.3508,-3.193561,-3.131401,-2.285098,-8.48423,-14.40527
103.6626,32.07841,-8.781529,10.30236,14.77485,13.77686,12.07473,9.32657,10.69344,11.69442,9.259629,10.91737,7.98788,7.922991,6.842793,7.0342,2.94601,2.117023,3.020162,0.6317657,-0.1722737,-1.197967,-1.258568,0.4989113,-5.288003,-0.02000073,-4.644873,-5.253963,-0.9241224,-3.518793,-3.61343,-2.152656,-5.377897,-3.876423,-4.823389,-6.522667,-5.852088,-6.539401,-5.91344,-6.331881,-6.219841,-7.466874,-16.02522,-22.25763
103.6627,32.07852,-5.335654,7.442682,8.73867,6.124424,4.128463,4.123961,8.316912,9.501945,7.280239,7.980297,6.936104,7.801505,5.294247,5.758226,1.85122,0.8406011,-2.00102,1.432269,-2.692106,-3.599187,-0.6784955,1.067091,-3.315976,-0.2575026,-4.912515,-3.714826,0.2771416,0.2631029,-1.091461,-0.5355853,-3.472673,-0.7743155,-5.374334,-0.6070322,-2.849031,-2.425205,-3.416744,-3.040306,-3.79684,-6.360185,-12.58183,-16.65837
103.6622,32.0786,-9.294782,12.00297,12.03229,12.89912,11.06444,8.130369,7.798814,12.95006,10.23475,12.48067,7.394774,12.4611,6.351314,8.614573,4.714486,3.068563,2.741722,-1.030972,0.780605,-1.2648,1.574771,5.46344,0.4993746,-3.518904,-3.441562,-5.399824,-2.658414,-5.641048,-5.818977,-5.050975,-6.517941,-5.690908,-8.516049,-6.573352,-7.256834,-6.61068,-7.803965,-6.275688,-6.213812,-7.458572,-17.05264,-18.43661
103.6621,32.07861,-7.854826,10.91598,9.885054,13.47795,14.00269,4.289289,11.38329,10.91302,12.64634,15.82702,10.87681,7.607751,2.677245,3.384368,0.2108237,1.023794,1.011886,-2.088416,0.7106653,-1.462494,-1.765651,2.089401,-3.631832,-5.54218,-1.59874,-3.656467,-5.032312,-2.104888,-2.040334,-5.75275,-5.017712,-6.503959,-10.29986,-3.123054,-4.976136,-5.10421,-4.760311,-3.355239,-7.067146,-5.3565,-11.27593,-12.28013
103.6637,32.0785,1.509557,-0.412547,-2.380347,-2.619054,-2.262434,-2.333587,-0.5588335,3.375066,-0.3376477,2.856624,2.407346,0.8462593,0.9726843,1.215863,-0.47187,-2.483026,-2.823762,-5.270495,-4.260228,-3.4254,-2.995794,1.487453,-1.514864,0.6806595,-2.1279,0.3959979,1.029495,-1.123665,-0.933974,0.7563315,0.3557397,1.351147,-0.5928921,1.904815,1.029174,3.305117,2.500587,3.088761,3.289132,6.112309,2.293925,5.907731
103.6635,32.07853,0.5333111,2.903041,1.181603,-0.02300305,-1.605664,-0.3535789,-0.7870298,1.264676,-0.1504258,1.273839,0.8720945,1.408422,2.21896,1.283807,0.7289307,0.129163,-4.955233,-8.098984,-2.120406,-0.8781325,-4.986421,1.111378,1.789253,0.9700769,-1.669756,-1.812975,0.9153004,-0.8410037,-5.384145,-0.3843959,2.066338,1.322254,0.1082957,1.86803,1.041986,1.89553,2.899495,2.382212,2.64276,-0.9765229,0.491788,7.184362
103.6624,32.0787,-10.8345,14.36264,15.12766,12.15588,13.46652,10.93335,10.28991,9.999578,11.97632,11.98607,18.45282,7.770552,2.92341,9.180717,7.435202,5.960645,3.887133,1.329184,2.179896,3.833598,2.854035,0.2264689,-6.572462,-5.451834,-9.322179,-1.945073,-2.683814,-6.486545,-5.054103,-3.518336,-6.306958,-5.973282,-10.0759,-5.776953,-7.314109,-5.541273,-10.7457,-12.91546,-11.19358,-11.45366,-13.31267,-23.93122
103.6622,32.07872,-9.483736,11.47429,14.34255,12.15929,12.30266,6.55793,12.05556,13.74712,5.486653,12.12807,9.84498,9.655984,6.842955,7.68924,6.080146,4.11614,2.78635,1.334775,1.505692,2.077388,1.399225,4.194289,-3.618181,-7.455914,-13.15977,-9.367105,-0.00770285,-2.325038,-4.587123,-1.719033,-6.89991,-2.916316,-4.499784,-3.264877,-4.781036,-5.588581,-7.425779,-7.711288,-9.30415,-12.38915,-20.01413,-19.72686
103.661,32.0789,-7.58019,14.95501,13.46111,10.34362,9.054111,15.45324,14.93303,10.06552,10.33379,3.050094,7.386691,-0.9602773,5.75334,3.660497,4.9138,3.908878,3.842885,-2.009167,-0.2178324,-4.656003,-3.545387,0.7455624,-4.166329,-3.883058,-14.50643,2.141446,-3.650087,-2.299422,-4.374218,-4.371123,-1.156091,-1.612438,-5.930081,-2.657102,-3.136736,-2.266222,-2.704721,-5.085061,-4.790396,-19.05142,-19.58202,-3.435984
103.6639,32.0786,1.640478,-0.8592517,-1.884415,-2.552179,-3.227376,-4.635431,-0.7463596,0.3428172,3.441173,3.689572,2.010985,1.067765,1.797459,3.175515,-3.086814,-2.386069,-3.223544,-4.704093,-4.34028,-3.591236,-4.295526,2.022248,-0.7911611,2.31447,-0.3699011,1.175303,1.026601,-1.461306,-1.038517,-1.154463,-0.6363592,-0.2834925,-1.08548,1.95431,1.238206,4.353089,3.979162,4.680328,4.151569,5.643278,3.128135,5.402434
103.6628,32.07875,-14.20873,14.59794,13.63878,15.16172,14.40418,10.6389,14.01637,17.76028,16.58225,15.63349,18.33195,14.21802,13.59978,13.25591,10.45353,10.7487,5.222138,2.512866,2.162302,0.003708044,2.087677,2.820559,2.705258,-2.21727,-6.299581,-6.853236,-6.501902,-4.751037,-2.502597,-12.25427,-14.57565,-11.42901,-9.40263,-11.00242,-7.927132,-9.646516,-10.05026,-11.34036,-17.10403,-16.70964,-23.24353,-28.18211
103.661,32.07903,-1.448265,9.411155,11.56901,9.767665,3.365885,-3.213148,-3.511795,4.264771,4.948694,4.370849,4.029754,3.526083,-2.866853,2.112286,2.033323,-0.08420952,-2.346518,-3.328261,-1.565914,-4.033336,-3.930469,-4.444991,-13.88426,-10.83619,-11.47301,-2.595145,-4.070986,-4.887899,-2.635756,1.408167,-0.8871592,-0.8025433,-5.505175,-0.2407191,-1.385208,7.154901,1.320429,-3.233758,7.032581,8.697885,9.344001,5.057933
103.664,32.0787,3.322618,-4.106655,-2.921918,-4.857557,-3.218765,-5.387501,-1.968112,-1.2347,0.5570951,0.9501253,-0.1057557,-1.331719,0.543421,0.9855219,-2.439667,-2.006785,-4.592041,-4.25033,-6.584605,-6.912593,-5.432689,0.60734,1.092072,0.6496682,0.905791,2.812413,-0.6537473,-0.4396805,1.063959,5.303356,3.716425,4.080245,-1.3108,2.87246,4.629342,3.172596,3.783262,8.170097,1.853389,5.861084,1.897081,6.72493
103.6634,32.0788,1.401452,-0.8902694,0.7845789,-4.68926,-4.024175,-4.686102,-3.32524,-1.687438,0.1951424,0.280778,1.377487,1.21356,2.49927,2.903709,1.974386,-3.457897,-1.173236,1.768395,-0.9573449,-6.369629,-3.348265,3.798168,1.700274,0.6362038,0.7324602,0.6497778,4.307858,-2.41502,-1.401943,-3.692554,-1.45021,1.691422,-0.1831624,2.035327,0.0005303783,2.906532,3.769342,2.509656,2.910304,4.974968,0.2352007,5.087514
103.6633,32.07881,0.2941857,-0.6070837,-2.111564,-4.483168,-5.053212,-0.1906873,2.794144,3.148639,3.241138,5.083716,3.211231,7.950676,6.833946,2.471411,-0.6877375,-1.992001,-2.37325,-6.47873,-3.207841,-2.991755,-0.2774988,1.283589,-1.65942,-1.793673,-0.8314907,-1.684656,-0.7927998,-1.722254,-1.170459,-1.252605,-0.167166,-0.86545,-0.6112111,1.210787,-0.1818577,1.626005,-0.5151544,2.974334,3.376965,5.291224,-0.1341036,4.528019
103.6627,32.07891,-14.78937,19.40444,15.117,16.27946,15.95797,15.52021,16.59184,17.67492,14.38851,16.88946,17.39941,13.10893,14.07276,14.42154,7.771689,6.211205,6.331221,2.977612,1.898823,1.008846,0.9346886,1.96167,0.9258437,4.3805,-7.581302,-0.3565741,-4.051844,-9.209948,-8.205938,-12.03879,-11.61432,-13.30519,-11.67481,-10.83848,-13.92745,-7.702417,-13.1337,-21.53042,-8.539453,-14.23361,-23.46242,-24.57455
103.6636,32.0789,-0.2460874,5.307106,3.450623,2.807854,-2.971122,-2.650813,-0.8779709,2.958702,2.776204,4.52932,0.7748743,0.7497758,2.494277,2.521875,2.050332,-1.014779,-5.082339,-4.363968,-5.61045,-4.173496,-2.517622,2.209805,-3.011339,1.315557,2.240544,-0.7710186,1.009917,-1.648949,0.9263963,-1.44132,-0.8964403,-2.634732,-3.54196,-0.9870029,-1.054658,1.316754,1.614605,3.638314,4.76642,5.075531,0.2398047,-0.2053353
103.667,32.07851,2.210351,-4.691118,-2.935239,-2.022695,-2.161219,-6.502481,0.5318407,2.129905,-0.7366334,4.529227,1.548291,2.97321,-0.826246,1.906015,-3.103142,-4.825862,-2.249775,-4.518895,-3.932788,-5.62899,-6.097872,2.08377,2.51571,4.590407,1.940551,0.4507731,4.063606,-1.038594,-1.590709,-1.222673,-0.5633749,0.2350365,-0.5979885,2.192418,1.666884,6.439496,4.669859,6.602579,4.792768,6.927434,1.271966,1.589037
103.6634,32.07892,0.915507,-0.9111194,-0.1648919,-0.8145058,-1.57323,-6.634863,-2.403425,2.81857,5.757351,5.60355,1.389932,1.477132,0.2773768,1.543881,-2.461905,-1.762697,-2.746795,-3.413961,-4.715547,-3.034427,-1.07117,4.087976,-2.513868,2.856626,-2.94463,-0.2846895,0.2893721,-1.432397,0.3271403,0.7338989,0.05813693,-0.9827068,-1.801577,1.592894,-0.2855895,2.47144,0.1764765,2.266419,3.606108,7.488306,0.3322478,4.13957
103.6632,32.07896,-19.37301,19.61767,17.95227,16.04437,17.17154,16.39285,17.81622,18.76751,18.55002,20.66645,18.77873,21.64207,18.10827,18.80748,14.42786,12.79392,11.05386,9.83856,9.341416,11.49951,10.28987,14.85534,10.99521,9.958553,-17.54974,-18.26687,-18.06548,-19.86535,-19.52301,-19.53977,-21.12825,-19.66557,-21.96066,-19.50739,-20.1345,-16.81474,-15.73706,-17.42347,-16.02492,-15.5611,-15.92404,-17.37136
103.6631,32.07897,-17.28305,23.61228,19.87199,18.90992,18.45876,17.78947,16.48546,17.25288,16.00296,14.67641,15.15943,19.33844,19.14678,13.4633,10.893,8.666636,8.156857,5.648439,4.943326,6.065584,5.937289,8.44644,-3.55608,-5.095809,-8.727306,-4.923026,-8.702539,-13.38303,-13.60633,-16.02297,-17.04183,-17.68248,-14.69108,-16.42209,-12.51978,-9.130445,-12.81609,-10.80696,-14.09751,-14.68254,-20.75742,-28.72762
103.663,32.07898,-17.46032,21.09199,23.36899,17.59448,19.71048,16.66795,14.53597,19.5822,17.27493,20.15679,17.44671,15.36161,18.24065,14.15126,5.378836,6.903379,8.872702,9.543358,5.717071,5.839317,4.393142,3.330996,0.7697915,2.986457,-1.451262,-5.612096,-3.28913,-15.59559,-16.5349,-15.53621,-17.20259,-15.23062,-15.5442,-13.44752,-10.07858,-14.72722,-14.07224,-16.30145,-19.50307,-2.163586,-30.91126,-29.15173
103.6641,32.07895,1.685781,-1.482005,-1.455411,-2.911201,-1.675199,-0.6622728,0.06887314,-2.384404,1.582891,5.149329,5.392554,2.21807,1.745443,0.03736536,-4.356797,-2.899881,-2.7758,-6.026643,-6.396194,-1.658334,-3.852684,-1.694952,-0.7073684,-8.087577,1.301931,9.033971,1.574446,-0.02527347,-0.2731096,-0.1405092,-0.2028244,1.316359,-1.060329,1.506717,0.4927019,4.992211,3.409051,4.705635,3.388839,6.164416,0.5485742,5.651439
103.6639,32.07898,1.111694,4.506305,-2.427598,-5.222607,-3.878368,-2.565231,0.8616261,1.509411,1.574001,3.646363,0.6334053,2.329064,0.4136125,1.545616,0.8030249,-2.293741,-0.2898603,-2.726784,-6.346242,-2.29282,-0.7584688,0.04885347,-0.2944604,2.563062,-1.335976,-2.814414,-0.6383387,-3.053732,2.406346,-5.407043,-1.529555,-4.716568,3.168549,-0.422873,-1.62377,5.711287,5.494932,2.362818,9.266588,6.797747,2.053519,5.623248
103.6671,32.07862,1.87578,-1.072522,-3.397978,-6.121159,-4.55195,-4.324572,-3.7723,3.748677,4.805479,10.97874,3.897883,3.60008,0.9930124,1.081135,-2.682507,-2.438171,-10.32694,-5.083862,-8.198045,-5.37877,-6.04904,12.9707,-0.6091703,5.35024,-1.945563,3.802167,-6.805485,-1.58867,1.280514,-2.149458,-1.692963,0.926131,0.6851507,0.3613797,2.721006,2.125491,6.295671,4.197246,5.879196,5.359004,0.6082039,7.186725
103.6645,32.07902,1.899105,-1.605142,-1.346138,-2.315252,-2.842067,-2.613686,-1.243468,-0.3270815,-0.1203997,3.132409,2.347507,0.5517905,2.384215,2.539745,-3.089543,-2.969848,-3.505957,-5.372418,-5.150292,-3.849238,-5.267108,2.742285,0.6279205,2.15953,0.3663556,0.2211215,1.037801,1.247432,-0.6285071,0.01366671,-0.42629,0.2360815,1.55062,3.36567,-0.4870616,4.216298,4.346072,4.325395,2.721715,5.336633,1.696936,6.688338
103.6642,32.07905,2.30667,-2.016771,-1.817414,-3.521461,-3.196641,-4.374725,-1.214504,-0.3365536,2.069047,1.34953,-0.6707528,0.6590248,-1.063725,2.129827,-0.9591725,-3.277971,-2.958971,-3.803667,-4.026994,-3.097528,-4.786312,0.5074099,-1.502209,2.33683,-1.166055,0.6812267,1.087055,-0.01029081,0.3190473,0.01723414,1.663542,-1.545803,-0.6437824,2.512325,2.411997,6.334865,4.736154,6.23551,2.874863,6.034094,1.779966,6.198213
