export_res_ 1,export_res_ 2,export_res_ 3,export_res_ 4,export_res_ 5,export_res_ 6,export_res_ 7,export_res_ 8,export_res_ 9,export_res_10,export_res_11,export_res_12,export_res_13,export_res_14,export_res_15,export_res_16,export_res_17,export_res_18,export_res_19,export_res_20,export_res_21,export_res_22,export_res_23,export_res_24,export_res_25,export_res_26,export_res_27,export_res_28,export_res_29,export_res_30,export_res_31,export_res_32,export_res_33,export_res_34,export_res_35,export_res_36,export_res_37,export_res_38,export_res_39,export_res_40,export_res_41
103.6636,32.07648,-5.910975,-18.63619,-6.736516,-5.09478,-0.7267109,8.307344,8.713826,8.571316,12.30608,8.876051,7.363436,9.678354,16.639,12.1736,10.45701,9.222651,4.751997,3.724442,-4.552275,3.61863,-4.288079,-2.007473,-1.480642,-6.587877,-0.7710164,7.813914,4.293804,-4.137683,7.396223,5.043076,9.135198,5.275311,5.330706,7.503257,6.415894,5.276677,7.105917,6.982302,11.96206
103.6621,32.07721,1.228862,-21.29531,-19.94759,-10.73321,-4.214445,-4.581488,1.353914,-1.771695,3.166274,2.777098,4.652432,1.994009,5.986589,6.293231,5.55671,3.587791,4.675862,5.569018,3.157301,-0.5178642,1.876805,0.47894,-3.661399,-1.208063,-2.527763,0.04458546,1.385237,2.100462,3.155382,5.24363,5.226722,5.714195,3.882832,8.278553,5.071863,5.575528,8.140348,8.547553,5.294505
103.6621,32.07721,0.6610267,-24.73696,-16.52298,-8.810088,-6.415389,-5.706967,2.598225,2.949815,7.938973,6.259328,5.178771,9.898072,5.574544,6.644969,5.90762,7.692435,2.094959,2.87442,2.473099,1.839497,0.9399103,-1.523392,-2.291994,-2.558088,2.991801,1.464629,-0.3239537,3.595016,2.1474,3.996726,6.505021,7.409051,10.59634,9.465451,8.273812,7.617528,7.273594,11.53919,3.294325
103.662,32.07723,1.003427,-41.14906,-33.31373,-3.779753,-12.71276,-10.40791,6.804299,6.206493,11.31502,7.105345,11.98462,18.28554,10.21111,10.70479,9.748596,5.458351,7.592236,6.38338,0.7893839,-2.076158,1.847501,0.6948124,-6.68226,2.802277,-6.001964,0.7046812,0.9889999,9.813277,2.392622,11.97586,9.969599,11.07658,5.217188,15.95047,6.442571,6.16648,8.627681,6.681962,7.090901
103.662,32.07724,4.567015,-21.33099,-25.98024,-11.19169,-6.799879,-8.018507,-1.425357,-2.528898,-0.3588135,7.457994,7.110016,7.235512,13.44331,1.227121,0.4929822,1.518255,4.432124,1.472487,4.052294,2.346086,10.45494,4.194093,4.971591,2.123523,7.972291,-1.141957,7.843771,10.2729,4.531495,8.045535,8.439283,10.25523,11.37706,8.091616,14.24741,10.34946,13.22554,18.25195,9.416673
103.662,32.07724,0.8867083,-17.51443,-17.77416,-10.01337,-5.353242,-6.350333,-0.8295948,1.041133,3.704697,6.469741,7.320142,8.250526,3.01351,5.786459,4.851288,4.736835,6.154755,4.388012,5.141354,1.910094,-2.238847,-2.056007,-1.527738,0.8590339,1.287139,-2.081749,2.476153,4.978598,1.035818,5.144891,4.676676,8.047015,3.836029,9.79881,7.150974,5.101698,8.66812,9.904276,7.549627
103.6619,32.07724,0.9653758,-20.59543,-19.08778,-12.29944,-4.035817,-4.73837,-3.947173,2.718793,3.175903,2.107051,4.413339,7.106049,2.222251,5.731651,4.762146,5.594708,5.167176,5.301479,3.557014,2.671397,-0.3931219,-1.836033,-1.067012,-0.3054621,-1.639083,-0.5229846,0.02368194,2.613045,2.188896,6.570675,4.351223,7.549112,5.187051,7.244867,3.924144,6.037789,6.828428,7.832559,9.322212
103.6619,32.07725,-0.08327064,-13.92088,-10.35595,-3.41168,-9.17354,3.081233,-3.292933,-1.593669,-2.283342,-0.3928109,-2.583721,5.694237,0.7884683,1.613445,0.4509097,4.337995,0.7911529,5.931271,3.067326,4.370427,2.181124,2.59134,1.842989,-4.094299,-4.513181,-0.4130405,-2.12552,-3.668365,1.624626,-0.07942096,2.961881,-0.2867431,8.861392,4.941129,4.815148,6.052742,4.83293,4.642986,7.403404
103.6607,32.07743,-2.205546,-18.89683,-15.02105,-11.88494,-12.17756,-6.962045,1.853534,4.73776,4.43448,-4.171543,2.818413,4.226335,4.557128,5.656407,4.152544,7.338006,1.973545,6.448199,-0.6953154,1.087162,2.272096,-7.875004,1.017516,-2.405777,-0.8450778,-2.143859,-4.37097,0.7901837,0.3937359,0.4318848,5.083318,-0.01945141,5.205924,4.896017,2.958039,0.9026638,2.522981,6.322604,5.623075
103.6606,32.07744,-9.395226,-13.37551,-5.599283,-5.712932,0.552309,3.401219,7.101354,6.073747,6.147762,7.169649,8.168331,8.724126,6.099935,8.641572,6.685057,4.852638,-0.06687713,4.059058,4.364552,1.92364,-0.9254723,-4.975104,-8.314559,-7.195735,5.306231,3.424453,6.507174,2.046481,2.761921,2.758162,3.82022,-0.6469311,4.183784,-0.8167005,4.504428,1.568211,0.3875264,-0.5948501,4.538068
103.6605,32.07746,-10.89422,-27.81172,-15.01872,-8.938128,-3.821674,-19.76952,11.51978,8.462293,5.037118,0.02104834,14.05767,0.658897,3.065233,11.27894,9.339097,7.106535,1.264438,4.218287,1.639034,2.636211,-0.1094137,-3.074727,-10.54364,-7.843047,-7.242697,-5.476217,2.543419,5.416002,-6.793519,6.220638,-1.166097,-7.140003,-3.41536,-0.9455424,-4.31587,-6.968346,-4.66187,-2.423844,-4.562773
103.6606,32.07745,-7.492055,-1.652526,6.93124,5.56089,5.263095,8.171892,12.1493,12.58497,-6.640575,4.894321,15.93828,10.07361,4.59815,10.08501,8.341816,6.402991,2.346112,3.719503,0.3031628,3.299261,1.541006,-4.066405,-5.705228,2.490848,-1.64146,3.161339,4.058872,12.40932,1.5498,6.69739,6.932108,2.412905,1.469234,7.04552,5.52071,2.250762,3.090204,11.06582,2.763315
103.6625,32.07729,-1.701124,-19.95026,-10.53253,-11.58656,-3.448818,2.25849,-0.9038666,-4.667284,1.338812,1.392842,1.791245,5.274036,5.539155,4.125402,3.197796,8.954439,4.55461,3.686838,5.740426,-0.1794344,-2.956434,-3.073271,-10.49741,-4.335062,-1.37676,-2.414082,-7.089202,-15.55527,-5.957363,-6.612906,-1.053944,-4.84424,-1.825341,0.09100617,-2.200349,-2.292821,-4.968917,-1.454449,0.1882148
103.6625,32.07729,1.846921,-57.16753,-39.99957,-34.47028,-18.65891,-36.58764,-19.02663,-8.823679,-22.52617,-6.992517,-5.891655,-5.382277,-0.2012849,7.000725,5.557567,6.546292,1.306224,12.19207,4.417243,-0.1187229,-5.628324,-7.514515,-9.72666,-5.102879,-3.471175,-3.216022,-4.255509,6.123401,2.271399,10.44357,10.2987,4.997687,5.887462,7.981266,2.748369,5.129154,2.187291,17.59587,3.192021
103.6624,32.0773,1.971563,-56.63405,-41.51848,-38.96303,-25.90717,-42.73263,-18.63544,-14.30784,-15.0287,-10.52782,-7.647034,0.5622882,-2.042611,5.86175,4.245326,6.339551,0.6183316,4.64737,4.97897,-4.673593,4.408934,-4.312626,-4.450255,6.141679,0.351002,0.2999921,-1.774587,4.747574,1.023261,8.400036,6.715364,7.361381,7.460454,5.708449,6.194022,8.366776,3.068527,8.938474,6.599567
103.6623,32.07732,0.5262641,-22.8555,-15.85971,-10.99124,-5.145258,-5.331796,0.2046681,1.783565,1.896161,3.514816,4.503307,7.642277,6.738473,6.578701,5.630582,4.635008,5.628321,1.713227,2.991107,1.32792,-0.5297616,2.036779,-2.961041,2.411537,-1.888649,1.777771,0.06126935,3.666278,3.741599,5.068835,3.771695,3.535761,4.151768,7.623485,2.96161,3.95936,5.511227,12.06414,5.067441
103.6551,32.07814,6.277313,-48.91466,-42.69139,-37.86377,-27.13203,-23.5378,-7.911314,-2.713157,9.105255,7.87923,8.316485,10.51402,12.75385,9.275584,6.917982,8.551212,3.320975,8.418229,6.96404,5.65543,8.646173,7.711168,10.45038,15.81926,16.60388,23.11175,23.56749,25.70466,30.87168,28.6357,32.45953,31.44041,31.79984,31.27679,33.21117,31.1203,33.31132,36.604,32.44629
103.6622,32.07732,3.6148,-21.87358,-9.945637,-1.962501,-5.05022,-6.184005,2.039055,2.658506,2.713856,10.23831,7.865066,5.497407,0.6992428,1.123714,0.6255578,4.576972,5.105332,4.296592,5.197878,2.575191,7.614355,3.11038,-0.1489542,-1.481498,0.4182054,-1.581561,1.762275,12.44307,8.857322,10.22991,8.683268,4.209654,7.358441,9.367498,8.066081,9.650755,4.327886,11.95456,7.14515
103.6621,32.07735,0.8712395,-15.62788,-17.86857,-9.650771,-7.406337,-5.914143,-1.957112,2.809822,3.658091,5.730621,6.117088,7.527237,3.733076,5.497126,4.822959,5.526593,5.688965,4.863389,3.621006,1.02644,1.325636,-1.066746,-0.2573787,-1.698179,0.4263094,1.728804,-0.3300446,4.383989,4.96646,13.23668,10.01507,7.047766,6.733523,8.145436,7.523067,6.573111,6.264396,9.968969,3.23729
103.662,32.07735,0.3507431,-20.44211,-17.38586,-11.47268,-7.244774,-4.955194,0.9101849,1.179107,1.718565,4.693862,5.323364,5.118713,3.670189,5.713762,4.744949,4.686265,3.591601,4.048175,4.192934,1.71863,0.592582,-0.7045403,-1.230158,-1.422056,-2.728237,-0.09247103,-0.624392,1.931436,1.709043,4.082832,4.158583,4.23024,5.013026,4.808142,4.128803,4.421568,6.652052,8.553545,6.663063
103.6621,32.07735,3.361154,-28.05665,-33.3189,-20.65931,-11.5547,-8.267609,-1.074674,1.804122,6.969127,6.477226,9.93773,7.013315,7.566823,8.896287,8.599436,8.916842,0.1703767,6.379064,3.682378,-2.128545,2.416778,-9.693722,-0.5837002,1.354628,1.713796,8.438679,9.227841,12.51411,9.387186,17.18263,16.46034,13.70554,10.23615,14.88174,10.82962,13.96996,11.75798,16.71925,7.424242
103.662,32.07736,0.5127453,-20.02456,-15.83787,-11.00674,-4.258281,-3.953646,-0.324199,3.015487,2.379479,4.580923,5.518216,3.873989,4.477083,5.789955,4.872154,4.96266,3.761216,5.340868,3.288214,2.78449,-0.2707244,-1.37687,-1.628979,-1.255498,-2.504897,-0.3881927,-1.195595,0.7831119,1.918725,4.243545,4.708271,5.038238,4.152786,6.444224,4.093599,5.012338,6.040652,7.962851,4.536094
103.662,32.07736,-0.6235382,-17.79688,-12.06323,-10.61967,-4.688485,-5.187028,0.09623524,3.581481,3.160242,4.652116,5.308005,4.947604,6.730363,8.175224,7.250616,3.951103,5.1365,4.24669,1.638204,1.559771,0.5135556,-1.324414,-3.235676,-0.606877,-1.133048,-0.153052,-0.7615747,0.1748859,2.138146,4.349947,5.557481,5.300165,3.229469,7.497465,3.180598,5.461694,6.20296,6.899782,3.031571
